,date,currency
0,2016-08-01,1106.1500
1,2016-08-02,1108.3500
2,2016-08-03,1116.2100
3,2016-08-04,1111.9900
4,2016-08-05,1114.5400
5,2016-08-08,1108.2400
6,2016-08-09,1101.4500
7,2016-08-10,1095.8400
8,2016-08-11,1097.3900
9,2016-08-12,1100.7900
10,2016-08-15,1095.8300
11,2016-08-16,1093.9500
12,2016-08-17,1114.2500
13,2016-08-18,1107.4100
14,2016-08-19,1116.3700
15,2016-08-22,1120.9300
16,2016-08-23,1116.9100
17,2016-08-24,1121.3400
18,2016-08-25,1115.2300
19,2016-08-26,1111.4700
20,2016-08-29,1121.5300
21,2016-08-30,1118.2700
22,2016-08-31,1115.9800
23,2016-09-01,1116.8900
24,2016-09-02,1114.8700
26,2016-09-06,1093.0400
27,2016-09-07,1090.0300
28,2016-09-08,1095.2700
29,2016-09-09,1106.8300
30,2016-09-12,1112.0300
31,2016-09-13,1124.6100
32,2016-09-14,1123.8100
33,2016-09-15,1122.8300
34,2016-09-16,1127.3700
35,2016-09-19,1117.4400
36,2016-09-20,1117.3400
37,2016-09-21,1112.1700
38,2016-09-22,1100.5900
39,2016-09-23,1102.2100
40,2016-09-26,1106.9900
41,2016-09-27,1099.2200
42,2016-09-28,1096.7300
43,2016-09-29,1097.3900
44,2016-09-30,1097.9800
45,2016-10-03,1104.7900
46,2016-10-04,1110.7700
47,2016-10-05,1114.5300
48,2016-10-06,1114.5300
49,2016-10-07,1115.9500
51,2016-10-11,1124.2100
52,2016-10-12,1127.2300
53,2016-10-13,1133.3100
54,2016-10-14,1133.1300
55,2016-10-17,1137.6100
56,2016-10-18,1123.7500
57,2016-10-19,1120.0100
58,2016-10-20,1128.3900
59,2016-10-21,1137.1700
60,2016-10-24,1135.4000
61,2016-10-25,1129.8900
62,2016-10-26,1134.9400
63,2016-10-27,1145.8500
64,2016-10-28,1146.4900
65,2016-10-31,1145.3700
66,2016-11-01,1142.6800
67,2016-11-02,1148.3900
68,2016-11-03,1142.6800
69,2016-11-04,1142.6800
70,2016-11-07,1141.2700
71,2016-11-08,1131.3900
72,2016-11-09,1150.6400
73,2016-11-10,1162.1100
75,2016-11-14,1171.2500
76,2016-11-15,1170.2100
77,2016-11-16,1172.4100
78,2016-11-17,1176.0300
79,2016-11-18,1177.7100
80,2016-11-21,1178.5100
81,2016-11-22,1173.2500
82,2016-11-23,1181.5700
84,2016-11-25,1174.9900
85,2016-11-28,1170.5300
86,2016-11-29,1169.9900
87,2016-11-30,1175.8700
88,2016-12-01,1167.3100
89,2016-12-02,1167.7000
90,2016-12-05,1168.1100
91,2016-12-06,1171.5000
92,2016-12-07,1161.6700
93,2016-12-08,1162.4900
94,2016-12-09,1171.8800
95,2016-12-12,1164.3700
96,2016-12-13,1164.6500
97,2016-12-14,1165.1300
98,2016-12-15,1185.3500
99,2016-12-16,1183.7200
100,2016-12-19,1187.7100
101,2016-12-20,1192.1300
102,2016-12-21,1193.9100
103,2016-12-22,1204.6500
104,2016-12-23,1201.5100
106,2016-12-27,1207.6800
107,2016-12-28,1212.2200
108,2016-12-29,1207.0500
109,2016-12-30,1203.7300
111,2017-01-03,1207.2300
112,2017-01-04,1198.0700
113,2017-01-05,1182.4600
114,2017-01-06,1198.8500
115,2017-01-09,1200.5100
116,2017-01-10,1196.9600
117,2017-01-11,1197.5900
118,2017-01-12,1170.9300
119,2017-01-13,1177.8100
121,2017-01-17,1161.6100
122,2017-01-18,1170.7300
123,2017-01-19,1177.0300
125,2017-01-23,1165.8200
126,2017-01-24,1165.2500
127,2017-01-25,1164.1300
128,2017-01-26,1169.6100
129,2017-01-27,1175.7300
130,2017-01-30,1171.2700
131,2017-01-31,1151.4500
132,2017-02-01,1154.4500
133,2017-02-02,1139.9000
134,2017-02-03,1134.6500
135,2017-02-06,1134.8700
136,2017-02-07,1142.8900
137,2017-02-08,1143.2500
138,2017-02-09,1149.8800
139,2017-02-10,1146.7800
140,2017-02-13,1150.1600
141,2017-02-14,1139.3300
142,2017-02-15,1136.4600
143,2017-02-16,1140.5700
144,2017-02-17,1150.7300
146,2017-02-21,1143.6300
147,2017-02-22,1142.1500
148,2017-02-23,1129.8400
149,2017-02-24,1130.4100
150,2017-02-27,1130.1400
151,2017-02-28,1129.1700
152,2017-03-01,1140.7500
153,2017-03-02,1146.9000
154,2017-03-03,1156.7700
155,2017-03-06,1154.3600
156,2017-03-07,1149.8700
157,2017-03-08,1154.6900
158,2017-03-09,1158.1200
159,2017-03-10,1150.3700
160,2017-03-13,1150.3700
161,2017-03-14,1148.5400
162,2017-03-15,1144.1600
163,2017-03-16,1148.5400
164,2017-03-17,1128.6700
165,2017-03-20,1112.2900
166,2017-03-21,1118.2300
167,2017-03-22,1117.9100
168,2017-03-23,1117.9100
169,2017-03-24,1116.6900
170,2017-03-27,1108.3000
171,2017-03-28,1111.5100
172,2017-03-29,1112.2800
173,2017-03-30,1114.1100
174,2017-03-31,1117.4800
175,2017-04-03,1117.6500
176,2017-04-04,1122.6100
177,2017-04-05,1126.5800
178,2017-04-06,1131.2100
179,2017-04-07,1133.8900
180,2017-04-10,1141.2400
181,2017-04-11,1147.7700
182,2017-04-12,1138.8300
183,2017-04-13,1133.3200
184,2017-04-14,1136.6700
185,2017-04-17,1134.2500
186,2017-04-18,1143.8900
187,2017-04-19,1142.3700
188,2017-04-20,1136.2900
189,2017-04-21,1134.2200
190,2017-04-24,1132.1900
191,2017-04-25,1126.5400
192,2017-04-26,1133.1700
193,2017-04-27,1133.8300
194,2017-04-28,1136.9900
195,2017-05-01,1134.8700
196,2017-05-02,1129.1600
197,2017-05-03,1131.2500
198,2017-05-04,1134.2000
199,2017-05-05,1136.4900
200,2017-05-08,1132.9100
201,2017-05-09,1134.8400
202,2017-05-10,1132.1300
203,2017-05-11,1127.5100
204,2017-05-12,1121.6800
205,2017-05-15,1115.0100
206,2017-05-16,1115.0000
207,2017-05-17,1118.6700
208,2017-05-18,1129.1700
209,2017-05-19,1116.7100
210,2017-05-22,1114.7100
211,2017-05-23,1125.0200
212,2017-05-24,1122.8300
213,2017-05-25,1119.7100
214,2017-05-26,1118.6700
216,2017-05-30,1122.8700
217,2017-05-31,1119.5800
218,2017-06-01,1120.8500
219,2017-06-02,1117.4900
220,2017-06-05,1118.4400
221,2017-06-06,1118.5300
222,2017-06-07,1124.1600
223,2017-06-08,1122.7300
224,2017-06-09,1123.5100
225,2017-06-12,1130.5500
226,2017-06-13,1127.7900
227,2017-06-14,1116.4500
228,2017-06-15,1129.9100
229,2017-06-16,1133.2000
230,2017-06-19,1134.6900
231,2017-06-20,1141.3300
232,2017-06-21,1143.0100
233,2017-06-22,1143.0100
234,2017-06-23,1132.9900
235,2017-06-26,1132.4800
236,2017-06-27,1137.7700
237,2017-06-28,1141.9100
238,2017-06-29,1144.0700
239,2017-06-30,1143.7500
240,2017-07-03,1149.2600
242,2017-07-05,1153.0600
243,2017-07-06,1156.5500
244,2017-07-07,1153.8500
245,2017-07-10,1149.3500
246,2017-07-11,1149.8300
247,2017-07-12,1138.3200
248,2017-07-13,1137.2200
249,2017-07-14,1127.7900
250,2017-07-17,1127.7400
251,2017-07-18,1123.6900
252,2017-07-19,1122.9200
253,2017-07-20,1120.7700
254,2017-07-21,1117.4700
255,2017-07-24,1113.8200
256,2017-07-25,1117.0200
257,2017-07-26,1117.7600
258,2017-07-27,1115.1500
259,2017-07-28,1121.4900
260,2017-07-31,1121.8600
261,2017-08-01,1121.0900
262,2017-08-02,1121.5500
263,2017-08-03,1127.7300
264,2017-08-04,1128.0200
265,2017-08-07,1127.3900
266,2017-08-08,1125.6000
267,2017-08-09,1138.6900
268,2017-08-10,1144.3600
269,2017-08-11,1141.5700
270,2017-08-14,1137.2200
271,2017-08-15,1135.4700
272,2017-08-16,1137.7500
273,2017-08-17,1138.2300
274,2017-08-18,1139.8300
275,2017-08-21,1137.1400
276,2017-08-22,1131.7900
277,2017-08-23,1128.5900
278,2017-08-24,1127.8000
279,2017-08-25,1121.7300
280,2017-08-28,1117.7500
281,2017-08-29,1122.5000
282,2017-08-30,1122.0500
283,2017-08-31,1122.3600
284,2017-09-01,1119.1200
286,2017-09-05,1130.0100
287,2017-09-06,1132.4900
288,2017-09-07,1125.4900
289,2017-09-08,1133.0800
290,2017-09-11,1129.7500
291,2017-09-12,1126.5600
292,2017-09-13,1129.3700
293,2017-09-14,1132.5900
294,2017-09-15,1130.6800
295,2017-09-18,1127.0700
296,2017-09-19,1128.8300
297,2017-09-20,1125.5300
298,2017-09-21,1130.8700
299,2017-09-22,1130.3900
300,2017-09-25,1134.5900
301,2017-09-26,1136.2900
302,2017-09-27,1141.6200
303,2017-09-28,1145.0800
304,2017-09-29,1142.5700
305,2017-10-02,1146.1800
306,2017-10-03,1140.5000
307,2017-10-04,1140.4400
308,2017-10-05,1139.0300
309,2017-10-06,1143.4600
311,2017-10-10,1132.0800
312,2017-10-11,1131.0400
313,2017-10-12,1129.7100
314,2017-10-13,1125.0100
315,2017-10-16,1127.7200
316,2017-10-17,1129.8600
317,2017-10-18,1130.9400
318,2017-10-19,1129.0600
319,2017-10-20,1130.6900
320,2017-10-23,1129.7300
321,2017-10-24,1128.3600
322,2017-10-25,1126.4900
323,2017-10-26,1123.0000
324,2017-10-27,1124.7900
